Frame_Number,Time_Stamp,SpineBase_x,SpineBase_y,SpineBase_z,ScreenX,ScreenY,SpineMid_x,SpineMid_y,SpineMid_z,ScreenX,ScreenY,Neck_x,Neck_y,Neck_z,ScreenX,ScreenY,Head_x,Head_y,Head_z,ScreenX,ScreenY,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ScreenX,ScreenY,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ScreenX,ScreenY,WristLeft_x,WristLeft_y,WristLeft_z,ScreenX,ScreenY,HandLeft_x,HandLeft_y,HandLeft_z,ScreenX,ScreenY,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ScreenX,ScreenY,ElbowRight_x,ElbowRight_y,ElbowRight_z,ScreenX,ScreenY,WristRight_x,WristRight_y,WristRight_z,ScreenX,ScreenY,HandRight_x,HandRight_y,HandRight_z,ScreenX,ScreenY,HipLeft_x,HipLeft_y,HipLeft_z,ScreenX,ScreenY,KneeLeft_x,KneeLeft_y,KneeLeft_z,ScreenX,ScreenY,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,ScreenX,ScreenY,FootLeft_x,FootLeft_y,FootLeft_z,ScreenX,ScreenY,HipRight_x,HipRight_y,HipRight_z,ScreenX,ScreenY,KneeRight_x,KneeRight_y,KneeRight_z,ScreenX,ScreenY,AnkleRight_x,AnkleRight_y,AnkleRight_z,ScreenX,ScreenY,FootRight_x,FootRight_y,FootRight_z,ScreenX,ScreenY,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,ScreenX,ScreenY,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ScreenX,ScreenY,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,ScreenX,ScreenY,HandTipRight_x,HandTipRight_y,HandTipRight_z,ScreenX,ScreenY,ThumbRight_x,ThumbRight_y,ThumbRight_z,ScreenX,ScreenY,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,Start_Joint,End_Joint,Absolute_Orientation_x,Absolute_Orientation_y,Absolute_Orientation_z,Hierarchical_Orientation_x,Hierarchical_Orientation_y,Hierarchical_Orientation_z,
0,0,0.00298838,-0.421902,1.87518,0,0,-0.00942431,-0.103283,1.93267,0,0,-0.01671,0.204838,1.95785,0,0,-0.0531267,0.347039,1.96352,0,0,-0.185718,0.0384052,2.01215,0,0,-0.267056,-0.179291,2.01624,0,0,-0.295309,-0.108214,1.84399,0,0,-0.300288,-0.0643306,1.76976,0,0,0.145993,0.107915,1.87093,0,0,0.270543,-0.0570801,1.79679,0,0,0.19156,0.000291272,1.60832,0,0,0.191465,0.00806165,1.59493,0,0,-0.0728045,-0.429747,1.8565,0,0,-0.0604657,-0.720453,1.79061,0,0,-0.02311,-0.98899,1.83575,0,0,-0.0572243,-1.04436,1.72669,0,0,0.078543,-0.396627,1.82,0,0,0.116946,-0.669408,1.63711,0,0,0.123167,-1.00432,1.64076,0,0,0.0763147,-1.03724,1.5218,0,0,-0.0158385,0.129506,1.95277,0,0,-0.309793,-0.0436821,1.69139,0,0,-0.259532,-0.0464486,1.76009,0,0,0.186653,0.0245026,1.5056,0,0,0.140889,0.00741107,1.57529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
1,0,0.00607551,-0.419856,1.87462,0,0,-0.0043771,-0.10267,1.93311,0,0,-0.00948767,0.20278,1.97057,0,0,-0.0362433,0.347767,1.98605,0,0,-0.185427,0.0378802,2.01098,0,0,-0.26354,-0.173618,1.99773,0,0,-0.289884,-0.080446,1.82952,0,0,-0.283018,-0.0322085,1.76204,0,0,0.156488,0.0991561,1.89332,0,0,0.322914,-0.0895414,1.87075,0,0,0.243021,0.00966137,1.66968,0,0,0.223633,0.0295414,1.6235,0,0,-0.0712056,-0.427016,1.85614,0,0,-0.0562402,-0.717978,1.78698,0,0,-0.0248937,-0.990307,1.83422,0,0,-0.0535805,-1.0471,1.72352,0,0,0.0837853,-0.395576,1.81906,0,0,0.127888,-0.682181,1.65157,0,0,0.134512,-1.00396,1.69523,0,0,0.0941527,-1.05001,1.58074,0,0,-0.0084009,0.128137,1.96258,0,0,-0.290973,-0.00561953,1.68773,0,0,-0.241051,-0.0185023,1.74675,0,0,0.206626,0.0557899,1.5322,0,0,0.175701,0.0272864,1.60726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
2,0,0.0144386,-0.424675,1.87417,0,0,0.00804091,-0.106145,1.93671,0,0,0.00420924,0.20139,1.98299,0,0,-0.0124687,0.347062,1.9982,0,0,-0.174532,0.0420202,2.00154,0,0,-0.259068,-0.173958,1.99987,0,0,-0.262985,-0.0412023,1.80833,0,0,-0.261424,0.00150059,1.75455,0,0,0.173999,0.0884085,1.91644,0,0,0.329002,-0.0979006,1.87765,0,0,0.280167,0.00929932,1.71343,0,0,0.254465,0.0485476,1.64789,0,0,-0.0665303,-0.428451,1.85334,0,0,-0.052272,-0.714533,1.7795,0,0,-0.0282323,-0.995721,1.83279,0,0,-0.0492358,-1.0564,1.72077,0,0,0.096646,-0.405396,1.82202,0,0,0.142923,-0.696225,1.67406,0,0,0.139615,-1.01498,1.74116,0,0,0.105908,-1.07301,1.63129,0,0,0.00522276,0.125974,1.97347,0,0,-0.266276,0.0372942,1.68134,0,0,-0.214776,0.0123061,1.73927,0,0,0.232991,0.0810633,1.55103,0,0,0.202011,0.0476223,1.63415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
3,0,0.0261026,-0.430294,1.87311,0,0,0.0246362,-0.109689,1.93914,0,0,0.0243066,0.200137,1.98991,0,0,0.0180511,0.348244,2.00975,0,0,-0.150596,0.0503804,1.98754,0,0,-0.248241,-0.16658,1.98861,0,0,-0.243324,-0.025746,1.80299,0,0,-0.234014,0.0325344,1.74316,0,0,0.186866,0.0834009,1.92588,0,0,0.335613,-0.10629,1.88202,0,0,0.289619,0.014165,1.71766,0,0,0.277777,0.0631066,1.66485,0,0,-0.056106,-0.431145,1.84771,0,0,-0.0488856,-0.710404,1.77184,0,0,-0.0322605,-0.991294,1.82828,0,0,-0.0485547,-1.05481,1.71664,0,0,0.10854,-0.413294,1.82472,0,0,0.154222,-0.714875,1.69757,0,0,0.143993,-1.02815,1.76554,0,0,0.115357,-1.08766,1.65394,0,0,0.0243914,0.124104,1.97955,0,0,-0.237272,0.0725936,1.6637,0,0,-0.186739,0.0379975,1.73394,0,0,0.262266,0.0980821,1.57638,0,0,0.217684,0.0728501,1.64971,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
4,0,0.0496705,-0.429092,1.87263,0,0,0.051715,-0.109254,1.94083,0,0,0.0533591,0.199185,1.99358,0,0,0.0519402,0.347322,2.01833,0,0,-0.122246,0.05545,1.97494,0,0,-0.236288,-0.159871,1.97748,0,0,-0.217341,-0.0032424,1.79018,0,0,-0.20379,0.0570914,1.73362,0,0,0.216327,0.0712256,1.93826,0,0,0.350964,-0.121971,1.9022,0,0,0.305179,0.0199859,1.72334,0,0,0.299826,0.0689598,1.67561,0,0,-0.0321533,-0.425284,1.84209,0,0,-0.0454631,-0.746421,1.75489,0,0,-0.032133,-1.06118,1.84026,0,0,-0.0405944,-1.13251,1.73612,0,0,0.130109,-0.415791,1.82857,0,0,0.167504,-0.729606,1.71443,0,0,0.144776,-1.05045,1.78118,0,0,0.122006,-1.1088,1.66571,0,0,0.0530086,0.123532,1.9829,0,0,-0.204959,0.10123,1.6555,0,0,-0.154459,0.0633111,1.72659,0,0,0.283824,0.112916,1.58471,0,0,0.243044,0.0785563,1.66794,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
5,0,0.0752315,-0.43099,1.87362,0,0,0.0807877,-0.111561,1.94262,0,0,0.0863221,0.196354,1.99576,0,0,0.087478,0.345212,2.01937,0,0,-0.0894689,0.0572658,1.96548,0,0,-0.212617,-0.150183,1.96597,0,0,-0.187061,0.0123948,1.78075,0,0,-0.171576,0.0717042,1.72623,0,0,0.239979,0.0649662,1.94635,0,0,0.360937,-0.129878,1.89678,0,0,0.32443,0.0191469,1.7288,0,0,0.317837,0.0673125,1.68028,0,0,-0.00806159,-0.424383,1.84019,0,0,-0.0520101,-0.741389,1.72875,0,0,-0.0611111,-1.06776,1.80774,0,0,-0.0711291,-1.1325,1.69785,0,0,0.155807,-0.420506,1.83249,0,0,0.180712,-0.729427,1.72637,0,0,0.159808,-1.06859,1.79243,0,0,0.143627,-1.12746,1.67722,0,0,0.0849937,0.120833,1.98505,0,0,-0.168022,0.119405,1.64017,0,0,-0.122504,0.0737917,1.7203,0,0,0.298904,0.110696,1.60873,0,0,0.261426,0.0792343,1.67442,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
6,0,0.0886024,-0.430457,1.87896,0,0,0.100239,-0.112287,1.94597,0,0,0.112567,0.194103,1.99643,0,0,0.123887,0.342989,2.017,0,0,-0.062079,0.0647963,1.96295,0,0,-0.187001,-0.138386,1.94595,0,0,-0.159273,0.0246534,1.771,0,0,-0.142557,0.0788392,1.71951,0,0,0.27518,0.0565201,1.95571,0,0,0.377189,-0.138765,1.89211,0,0,0.340106,0.0142361,1.73106,0,0,0.333644,0.0600849,1.68222,0,0,0.00512758,-0.420911,1.84344,0,0,-0.058713,-0.724347,1.69611,0,0,-0.0745621,-1.05444,1.79568,0,0,-0.0814575,-1.12825,1.69506,0,0,0.169164,-0.422974,1.84016,0,0,0.191418,-0.728753,1.73761,0,0,0.162053,-1.08145,1.79494,0,0,0.149359,-1.1361,1.67476,0,0,0.109517,0.118985,1.98646,0,0,-0.138344,0.128322,1.64591,0,0,-0.0903491,0.0841979,1.71495,0,0,0.300517,0.115417,1.6257,0,0,0.277646,0.072008,1.68088,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
7,0,0.0946583,-0.426766,1.88355,0,0,0.114307,-0.110735,1.94893,0,0,0.135349,0.192796,1.99736,0,0,0.15374,0.342715,2.01984,0,0,-0.0421039,0.071805,1.96795,0,0,-0.167149,-0.133205,1.95709,0,0,-0.140285,0.0299762,1.77142,0,0,-0.120299,0.0825281,1.72325,0,0,0.292663,0.0529,1.9596,0,0,0.395968,-0.152058,1.90132,0,0,0.352296,0.00639132,1.73864,0,0,0.34108,0.051431,1.6924,0,0,0.0121934,-0.412515,1.84789,0,0,-0.0659936,-0.664796,1.64862,0,0,-0.0789379,-0.955466,1.73775,0,0,-0.0842467,-1.03686,1.64224,0,0,0.174186,-0.423027,1.84499,0,0,0.192811,-0.720493,1.74468,0,0,0.173298,-1.07079,1.8026,0,0,0.163549,-1.12914,1.68209,0,0,0.130197,0.118437,1.98793,0,0,-0.113897,0.132677,1.65642,0,0,-0.0654532,0.0936134,1.70971,0,0,0.318516,0.121035,1.62695,0,0,0.293548,0.0650286,1.68164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
8,0,0.102925,-0.419671,1.88757,0,0,0.127658,-0.106657,1.95269,0,0,0.152449,0.194169,2.00181,0,0,0.173222,0.343218,2.01804,0,0,-0.023786,0.0764041,1.97126,0,0,-0.153997,-0.130111,1.96818,0,0,-0.122808,0.0331088,1.77835,0,0,-0.103396,0.0866914,1.7347,0,0,0.306532,0.0505875,1.96092,0,0,0.403996,-0.157096,1.9079,0,0,0.359549,-0.00336128,1.74477,0,0,0.340633,0.0458205,1.69679,0,0,0.0197437,-0.403086,1.85341,0,0,-0.0535336,-0.566331,1.60444,0,0,-0.0803494,-0.909672,1.69885,0,0,-0.0992303,-0.988141,1.6457,0,0,0.182188,-0.418965,1.84733,0,0,0.189104,-0.689116,1.74115,0,0,0.178532,-1.06217,1.80623,0,0,0.171015,-1.12914,1.69336,0,0,0.146429,0.120454,1.99211,0,0,-0.100094,0.131775,1.66198,0,0,-0.0494439,0.097901,1.72073,0,0,0.329436,0.112903,1.63742,0,0,0.296748,0.0625544,1.6922,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
9,0,0.116412,-0.411845,1.88795,0,0,0.141614,-0.103604,1.95332,0,0,0.165954,0.193563,2.00299,0,0,0.192254,0.342314,2.01838,0,0,-0.0107759,0.0789923,1.97422,0,0,-0.14517,-0.127385,1.98023,0,0,-0.110501,0.039324,1.78974,0,0,-0.092244,0.0959606,1.75021,0,0,0.314472,0.0489776,1.96249,0,0,0.406459,-0.160397,1.9087,0,0,0.359805,-0.00520587,1.74551,0,0,0.339002,0.0388846,1.70289,0,0,0.0307843,-0.395323,1.85468,0,0,-0.0550154,-0.482423,1.55906,0,0,-0.0728808,-0.827187,1.64174,0,0,-0.0966182,-0.895514,1.56167,0,0,0.197604,-0.411912,1.84665,0,0,0.184284,-0.681116,1.73993,0,0,0.180204,-1.05868,1.81222,0,0,0.176038,-1.13211,1.70642,0,0,0.160079,0.120677,1.99313,0,0,-0.0889078,0.145105,1.67633,0,0,-0.0354566,0.108492,1.74027,0,0,0.326277,0.107394,1.63816,0,0,0.295225,0.0561421,1.693,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0,20,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,13,0,0,0,0,0,0,13,14,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,17,18,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,7,22,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,24,0,0,0,0,0,0,
